TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,CommissionPercent,OrderChannel
1,5/4/2025,1034,2059,402,0,2048.2,11.6,Phone
2,5/4/2025,1066,2048,403,1,321.87,3.4,Mobile
3,5/4/2025,1116,2041,403,3,3216.84,12.3,Catalog
4,5/4/2025,1071,2096,404,2,1613.23,14.7,Online
5,5/4/2025,1020,2060,401,0,408.38,3.8,InStore
6,5/4/2025,1089,2028,401,0,1275.88,8.9,Phone
7,5/4/2025,1193,2003,402,1,346.66,2.2,Mobile
8,5/4/2025,1005,2079,402,1,855.49,6.4,Catalog
9,5/4/2025,1032,2060,401,1,735.08,7.3,Online
10,5/4/2025,1119,2089,403,2,661.63,8.6,InStore
11,5/4/2025,1042,2077,401,,505.65,8.4,Phone
12,5/4/2025,1079,2013,401,2,0,2,Mobile
13,5/4/2025,1147,2086,404,3,4470.5,10,Catalog
14,5/4/2025,1183,2025,401,1,503.32,9,Online
15,5/4/2025,1026,2089,403,0,413.52,3.5,InStore
16,5/4/2025,1144,2005,403,3,1715.12,15,Phone
17,5/4/2025,1169,2047,401,2,535.97,6.4,Mobile
18,5/4/2025,1003,2053,404,0,3660.9,13.5,Catalog
19,5/4/2025,1110,2046,404,1,30.09,2.3,Online
20,5/4/2025,1111,2022,403,3,671.18,6.7,InStore
21,5/4/2025,1119,2055,403,2,?,,Phone
22,5/4/2025,1062,2011,403,3,1229.22,8,Mobile
23,5/4/2025,1062,2096,404,3,672.18,8,Catalog
24,5/4/2025,1086,2003,404,2,924.43,6.7,Online
25,5/4/2025,1046,2062,402,2,1981.95,14.4,InStore
26,5/4/2025,1066,2043,403,2,698.76,7.2,Phone
27,5/4/2025,1142,2001,402,0,1237.05,8.8,Mobile
28,5/4/2025,1061,2092,404,3,482.21,3.5,Catalog
29,5/4/2025,1142,2097,402,3,4210.5,11.6,Online
30,5/4/2025,1165,2091,404,3,4528.95,11.6,InStore
31,2023-13-01,1004,2011,403,1,737.53,7.6,Phone
32,5/4/2025,1103,2088,402,2,0,2,Mobile
33,5/4/2025,1169,2074,403,3,0,2,Catalog
34,5/4/2025,1141,2067,403,3,872.85,8.1,Online
35,5/4/2025,1190,2070,403,2,54.69,2.7,InStore
36,5/4/2025,1179,2058,403,2,1066.8,6.1,Phone
37,5/4/2025,1064,2029,401,1,12.16,4.3,Mobile
38,5/4/2025,1080,2015,402,1,3037.36,14.6,Catalog
39,5/4/2025,1055,2094,404,2,1578.72,13.8,Online
40,5/4/2025,1185,2075,403,0,0,2,InStore
41,5/4/2025,9999,2037,402,2,288.11,2,Phone
42,5/4/2025,1045,2038,401,1,1667.72,12.1,Mobile
43,5/4/2025,1070,2005,401,2,686.05,8.2,Catalog
44,5/4/2025,1178,2016,404,0,0,2,Online
45,5/4/2025,1003,2073,403,3,1498.29,8.1,InStore
46,5/4/2025,1122,2056,403,1,944.5,7.5,Phone
47,5/4/2025,1013,2032,404,0,2836.8,13.8,Mobile
48,5/4/2025,1016,2051,404,0,117.32,2.2,Catalog
49,5/4/2025,1147,2080,401,1,0,2,Online
50,5/4/2025,1038,2072,403,0,840.6,9,InStore
51,5/4/2025,1063,2015,404,1,1214.95,6.2,Phone
